,inc1,inc2,weight
31,Shot - Wounded/Injured,School Incident,232.0
32,Shot - Wounded/Injured,School Shooting - university/college,81.0
33,Shot - Wounded/Injured,Car-jacking,753.0
34,Shot - Wounded/Injured,Hate crime,31.0
35,Shot - Wounded/Injured,House party,490.0
36,Shot - Wounded/Injured,Defensive Use,3124.0
37,Shot - Wounded/Injured,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",1638.0
38,Shot - Wounded/Injured,Defensive Use - Victim stops crime,1028.0
39,Shot - Wounded/Injured,Workplace shooting,67.0
40,Shot - Wounded/Injured,Assault weapon,287.0
41,Shot - Wounded/Injured,Pistol-whipping,607.0
42,Shot - Wounded/Injured,Implied Weapon,60.0
43,Shot - Wounded/Injured,Accidental Shooting,5507.0
44,Shot - Wounded/Injured,Accidental Shooting - Injury,5245.0
45,Shot - Wounded/Injured,Cleaning gun,379.0
46,Shot - Wounded/Injured,Brandishing/flourishing/open carry/lost/found,1992.0
47,Shot - Wounded/Injured,Non-Shooting Incident,9.0
48,Shot - Wounded/Injured,ATF/LE Confiscation/Raid/Arrest,938.0
49,Shot - Wounded/Injured,Unlawful purchase/sale,25.0
50,Shot - Wounded/Injured,Accidental Shooting - Death,44.0
51,Shot - Wounded/Injured,BB/Pellet/Replica gun,491.0
52,Shot - Wounded/Injured,Hunting accident,326.0
53,Shot - Wounded/Injured,Road rage,510.0
54,Shot - Wounded/Injured,Home Invasion - No death or injury,36.0
55,Shot - Wounded/Injured,Accidental/Negligent Discharge,4310.0
56,Shot - Wounded/Injured,"Shots fired, no action",52.0
57,Shot - Wounded/Injured,Sex crime involving firearm,48.0
58,Shot - Wounded/Injured,TSA Action,1.0
59,Shot - Wounded/Injured,Thought gun was unloaded,213.0
60,Shot - Wounded/Injured,stolen from owner,204.0
61,Shot - Wounded/Injured,Gun range/gun shop/gun show shooting,247.0
62,Shot - Wounded/Injured,Home Invasion - subject/suspect/perpetrator killed,175.0
63,Shot - Wounded/Injured,Home Invasion - subject/suspect/perpetrator injured,1019.0
64,Shot - Wounded/Injured,Child Involved Incident,1271.0
65,Shot - Wounded/Injured,Child injured self,214.0
66,Shot - Wounded/Injured,Suicide - Attempt,465.0
67,Shot - Wounded/Injured,Child killed by child,3.0
68,Shot - Wounded/Injured,Self-Inflicted,1571.0
69,Shot - Wounded/Injured,School Shooting - elementary/secondary school,114.0
70,Shot - Wounded/Injured,Officer Involved Incident - Weapon involved but no shots fired,93.0
71,Shot - Wounded/Injured,"Defensive Use - Shots fired, no injury/death",100.0
72,Shot - Wounded/Injured,Concealed Carry License - Victim,293.0
73,Shot - Wounded/Injured,"Officer Involved Shooting - Shots fired, no injury",81.0
74,Shot - Wounded/Injured,Accidental Shooting at a Business,380.0
75,Shot - Wounded/Injured,Criminal act with stolen gun,334.0
76,Shot - Wounded/Injured,Child killed self,0.0
77,Shot - Wounded/Injured,Child picked up & fired gun,372.0
78,Shot - Wounded/Injured,"Gun at school, no death/injury - elementary/secondary school",2.0
79,Shot - Wounded/Injured,"Gun at school, no death/injury - university/college",2.0
80,Shot - Wounded/Injured,Non-Aggression Incident,1412.0
81,Shot - Wounded/Injured,Defensive Use - WITHOUT a gun,340.0
82,Shot - Wounded/Injured,Police Targeted,161.0
83,Shot - Wounded/Injured,Defensive Use - Stand Your Ground/Castle Doctrine established,657.0
84,Shot - Wounded/Injured,Playing with gun,615.0
85,Shot - Wounded/Injured,Child injured by child,156.0
86,Shot - Wounded/Injured,Officer Involved Shooting - subject/suspect/perpetrator unarmed,99.0
87,Shot - Wounded/Injured,ShotSpotter,159.0
88,Shot - Wounded/Injured,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,257.0
89,Shot - Wounded/Injured,Defensive Use - Good Samaritan/Third Party,211.0
90,Shot - Wounded/Injured,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,437.0
91,Shot - Wounded/Injured,Child killed,66.0
92,Shot - Wounded/Injured,Child with gun - no shots fired,1.0
93,Shot - Wounded/Injured,Gun shop robbery or burglary,5.0
94,Shot - Wounded/Injured,Shootout,1370.0
95,Shot - Wounded/Injured,Guns stolen from law enforcement,13.0
96,Shot - Wounded/Injured,Defensive use - No shots fired,11.0
97,Shot - Wounded/Injured,Officer Involved Shooting - Bystander shot,136.0
98,Shot - Wounded/Injured,Officer Involved Shooting - Bystander killed,11.0
99,Shot - Wounded/Injured,Child injured,1026.0
100,Shot - Wounded/Injured,Gun buy back action,3.0
101,Shot - Wounded/Injured,Terrorism Involvement,10.0
102,Shot - Wounded/Injured,Officer Involved Shooting - Accidental discharge - no injury required,134.0
103,Shot - Wounded/Injured,Mistaken ID ,49.0
104,Shot - Wounded/Injured,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,11.0
105,Shot - Wounded/Injured,Ghost gun,6.0
106,Shot - Wounded/Injured,Political Violence,4.0
107,Mass Shooting,Possession,163.0
108,Mass Shooting,Possession of gun by felon or prohibited person,102.0
109,Mass Shooting,Shot - Dead,856.0
110,Mass Shooting,Gang involvement,204.0
111,Mass Shooting,Shots Fired - No Injuries,6.0
112,Mass Shooting,Bar/club incident - in or around establishment,273.0
113,Mass Shooting,Officer Involved Incident,81.0
114,Mass Shooting,Officer Involved Shooting - subject/suspect/perpetrator killed,38.0
115,Mass Shooting,Drug involvement,61.0
116,Mass Shooting,Kidnapping/abductions/hostage,14.0
117,Mass Shooting,Under the influence of alcohol or drugs,14.0
118,Mass Shooting,Suicide,67.0
119,Mass Shooting,Murder/Suicide,63.0
120,Mass Shooting,Attempted Murder/Suicide,3.0
121,Mass Shooting,Domestic Violence,103.0
122,Mass Shooting,Home Invasion,37.0
123,Mass Shooting,Home Invasion - Resident killed,32.0
124,Mass Shooting,Armed robbery with injury/death and/or evidence of DGU found,35.0
125,Mass Shooting,Drive-by,268.0
126,Mass Shooting,Officer Involved Shooting - Officer shot,35.0
127,Mass Shooting,Officer Involved Shooting - Officer killed,15.0
128,Mass Shooting,Officer Involved Shooting - subject/suspect/perpetrator shot,11.0
129,Mass Shooting,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,12.0
130,Mass Shooting,Spree Shooting,48.0
131,Mass Shooting,Institution/Group/Business,90.0
132,Mass Shooting,Animal shot/killed,4.0
133,Mass Shooting,Home Invasion - Resident injured,23.0
134,Mass Shooting,Mass Murder,94.0
135,Mass Shooting,Concealed Carry License - Perpetrator,9.0
136,Mass Shooting,Stolen/Illegally owned,19.0
137,Mass Shooting,School Incident,12.0
138,Mass Shooting,School Shooting - university/college,4.0
139,Mass Shooting,Car-jacking,12.0
140,Mass Shooting,Hate crime,12.0
141,Mass Shooting,House party,60.0
142,Mass Shooting,Defensive Use,31.0
143,Mass Shooting,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",6.0
144,Mass Shooting,Defensive Use - Victim stops crime,5.0
145,Mass Shooting,Workplace shooting,10.0
146,Mass Shooting,Assault weapon,48.0
147,Mass Shooting,Pistol-whipping,5.0
148,Mass Shooting,Implied Weapon,0.0
149,Mass Shooting,Accidental Shooting,0.0
150,Mass Shooting,Accidental Shooting - Injury,0.0
151,Mass Shooting,Cleaning gun,0.0
152,Mass Shooting,Brandishing/flourishing/open carry/lost/found,19.0
153,Mass Shooting,Non-Shooting Incident,0.0
154,Mass Shooting,ATF/LE Confiscation/Raid/Arrest,16.0
155,Mass Shooting,Unlawful purchase/sale,2.0
156,Mass Shooting,Accidental Shooting - Death,0.0
157,Mass Shooting,BB/Pellet/Replica gun,0.0
158,Mass Shooting,Hunting accident,0.0
159,Mass Shooting,Road rage,4.0
160,Mass Shooting,Home Invasion - No death or injury,0.0
161,Mass Shooting,Accidental/Negligent Discharge,0.0
162,Mass Shooting,"Shots fired, no action",1.0
163,Mass Shooting,Sex crime involving firearm,0.0
164,Mass Shooting,TSA Action,0.0
165,Mass Shooting,Thought gun was unloaded,0.0
166,Mass Shooting,stolen from owner,2.0
167,Mass Shooting,Gun range/gun shop/gun show shooting,0.0
168,Mass Shooting,Home Invasion - subject/suspect/perpetrator killed,3.0
169,Mass Shooting,Home Invasion - subject/suspect/perpetrator injured,2.0
170,Mass Shooting,Child Involved Incident,54.0
171,Mass Shooting,Child injured self,0.0
172,Mass Shooting,Suicide - Attempt,2.0
173,Mass Shooting,Child killed by child,0.0
174,Mass Shooting,Self-Inflicted,0.0
175,Mass Shooting,School Shooting - elementary/secondary school,8.0
176,Mass Shooting,Officer Involved Incident - Weapon involved but no shots fired,0.0
177,Mass Shooting,"Defensive Use - Shots fired, no injury/death",7.0
178,Mass Shooting,Concealed Carry License - Victim,6.0
179,Mass Shooting,"Officer Involved Shooting - Shots fired, no injury",5.0
180,Mass Shooting,Accidental Shooting at a Business,0.0
181,Mass Shooting,Criminal act with stolen gun,5.0
182,Mass Shooting,Child killed self,0.0
183,Mass Shooting,Child picked up & fired gun,0.0
184,Mass Shooting,"Gun at school, no death/injury - elementary/secondary school",0.0
185,Mass Shooting,"Gun at school, no death/injury - university/college",0.0
186,Mass Shooting,Non-Aggression Incident,0.0
187,Mass Shooting,Defensive Use - WITHOUT a gun,6.0
188,Mass Shooting,Police Targeted,8.0
189,Mass Shooting,Defensive Use - Stand Your Ground/Castle Doctrine established,2.0
190,Mass Shooting,Playing with gun,0.0
191,Mass Shooting,Child injured by child,0.0
192,Mass Shooting,Officer Involved Shooting - subject/suspect/perpetrator unarmed,0.0
193,Mass Shooting,ShotSpotter,3.0
194,Mass Shooting,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,6.0
195,Mass Shooting,Defensive Use - Good Samaritan/Third Party,3.0
196,Mass Shooting,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,13.0
197,Mass Shooting,Child killed,17.0
198,Mass Shooting,Child with gun - no shots fired,0.0
199,Mass Shooting,Gun shop robbery or burglary,0.0
200,Mass Shooting,Shootout,53.0
201,Mass Shooting,Guns stolen from law enforcement,1.0
202,Mass Shooting,Defensive use - No shots fired,0.0
203,Mass Shooting,Officer Involved Shooting - Bystander shot,6.0
204,Mass Shooting,Officer Involved Shooting - Bystander killed,1.0
205,Mass Shooting,Child injured,40.0
206,Mass Shooting,Gun buy back action,0.0
207,Mass Shooting,Terrorism Involvement,3.0
208,Mass Shooting,Officer Involved Shooting - Accidental discharge - no injury required,0.0
209,Mass Shooting,Mistaken ID ,0.0
210,Mass Shooting,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,0.0
211,Mass Shooting,Ghost gun,2.0
212,Mass Shooting,Political Violence,1.0
213,Possession,Possession of gun by felon or prohibited person,17165.0
214,Possession,Shot - Dead,3517.0
215,Possession,Gang involvement,2203.0
216,Possession,Shots Fired - No Injuries,4076.0
217,Possession,Bar/club incident - in or around establishment,599.0
218,Possession,Officer Involved Incident,3690.0
219,Possession,Officer Involved Shooting - subject/suspect/perpetrator killed,304.0
220,Possession,Drug involvement,12034.0
221,Possession,Kidnapping/abductions/hostage,589.0
222,Possession,Under the influence of alcohol or drugs,1443.0
223,Possession,Suicide,187.0
224,Possession,Murder/Suicide,51.0
225,Possession,Attempted Murder/Suicide,12.0
226,Possession,Domestic Violence,1669.0
227,Possession,Home Invasion,1244.0
228,Possession,Home Invasion - Resident killed,123.0
229,Possession,Armed robbery with injury/death and/or evidence of DGU found,2045.0
230,Possession,Drive-by,1547.0
231,Possession,Officer Involved Shooting - Officer shot,144.0
232,Possession,Officer Involved Shooting - Officer killed,45.0
233,Possession,Officer Involved Shooting - subject/suspect/perpetrator shot,492.0
234,Possession,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,53.0
235,Possession,Spree Shooting,94.0
236,Possession,Institution/Group/Business,1868.0
237,Possession,Animal shot/killed,47.0
238,Possession,Home Invasion - Resident injured,271.0
239,Possession,Mass Murder,14.0
240,Possession,Concealed Carry License - Perpetrator,145.0
241,Possession,Stolen/Illegally owned,6200.0
242,Possession,School Incident,986.0
243,Possession,School Shooting - university/college,13.0
244,Possession,Car-jacking,673.0
245,Possession,Hate crime,23.0
246,Possession,House party,68.0
247,Possession,Defensive Use,686.0
248,Possession,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",199.0
249,Possession,Defensive Use - Victim stops crime,261.0
250,Possession,Workplace shooting,16.0
251,Possession,Assault weapon,1116.0
252,Possession,Pistol-whipping,447.0
253,Possession,Implied Weapon,117.0
254,Possession,Accidental Shooting,662.0
255,Possession,Accidental Shooting - Injury,412.0
256,Possession,Cleaning gun,16.0
257,Possession,Brandishing/flourishing/open carry/lost/found,3874.0
258,Possession,Non-Shooting Incident,22189.0
259,Possession,ATF/LE Confiscation/Raid/Arrest,15828.0
260,Possession,Unlawful purchase/sale,567.0
261,Possession,Accidental Shooting - Death,151.0
262,Possession,BB/Pellet/Replica gun,318.0
263,Possession,Hunting accident,3.0
264,Possession,Road rage,255.0
265,Possession,Home Invasion - No death or injury,750.0
266,Possession,Accidental/Negligent Discharge,564.0
267,Possession,"Shots fired, no action",223.0
268,Possession,Sex crime involving firearm,170.0
269,Possession,TSA Action,51.0
270,Possession,Thought gun was unloaded,26.0
271,Possession,stolen from owner,1249.0
272,Possession,Gun range/gun shop/gun show shooting,12.0
273,Possession,Home Invasion - subject/suspect/perpetrator killed,59.0
274,Possession,Home Invasion - subject/suspect/perpetrator injured,91.0
275,Possession,Child Involved Incident,276.0
276,Possession,Child injured self,14.0
277,Possession,Suicide - Attempt,51.0
278,Possession,Child killed by child,13.0
279,Possession,Self-Inflicted,170.0
280,Possession,School Shooting - elementary/secondary school,29.0
281,Possession,Officer Involved Incident - Weapon involved but no shots fired,1965.0
282,Possession,"Defensive Use - Shots fired, no injury/death",67.0
283,Possession,Concealed Carry License - Victim,55.0
284,Possession,"Officer Involved Shooting - Shots fired, no injury",523.0
285,Possession,Accidental Shooting at a Business,36.0
286,Possession,Criminal act with stolen gun,1585.0
287,Possession,Child killed self,15.0
288,Possession,Child picked up & fired gun,53.0
289,Possession,"Gun at school, no death/injury - elementary/secondary school",841.0
290,Possession,"Gun at school, no death/injury - university/college",80.0
291,Possession,Non-Aggression Incident,777.0
292,Possession,Defensive Use - WITHOUT a gun,183.0
293,Possession,Police Targeted,114.0
294,Possession,Defensive Use - Stand Your Ground/Castle Doctrine established,107.0
295,Possession,Playing with gun,150.0
296,Possession,Child injured by child,10.0
297,Possession,Officer Involved Shooting - subject/suspect/perpetrator unarmed,12.0
298,Possession,ShotSpotter,31.0
299,Possession,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,605.0
300,Possession,Defensive Use - Good Samaritan/Third Party,63.0
301,Possession,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,252.0
302,Possession,Child killed,59.0
303,Possession,Child with gun - no shots fired,80.0
304,Possession,Gun shop robbery or burglary,101.0
305,Possession,Shootout,321.0
306,Possession,Guns stolen from law enforcement,63.0
307,Possession,Defensive use - No shots fired,42.0
308,Possession,Officer Involved Shooting - Bystander shot,23.0
309,Possession,Officer Involved Shooting - Bystander killed,6.0
310,Possession,Child injured,81.0
311,Possession,Gun buy back action,1.0
312,Possession,Terrorism Involvement,11.0
313,Possession,Officer Involved Shooting - Accidental discharge - no injury required,12.0
314,Possession,Mistaken ID ,8.0
315,Possession,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,13.0
316,Possession,Ghost gun,59.0
317,Possession,Political Violence,4.0
318,Possession of gun by felon or prohibited person,Shot - Dead,2028.0
319,Possession of gun by felon or prohibited person,Gang involvement,1151.0
320,Possession of gun by felon or prohibited person,Shots Fired - No Injuries,2160.0
321,Possession of gun by felon or prohibited person,Bar/club incident - in or around establishment,293.0
322,Possession of gun by felon or prohibited person,Officer Involved Incident,1732.0
323,Possession of gun by felon or prohibited person,Officer Involved Shooting - subject/suspect/perpetrator killed,168.0
324,Possession of gun by felon or prohibited person,Drug involvement,5367.0
325,Possession of gun by felon or prohibited person,Kidnapping/abductions/hostage,314.0
326,Possession of gun by felon or prohibited person,Under the influence of alcohol or drugs,634.0
327,Possession of gun by felon or prohibited person,Suicide,98.0
328,Possession of gun by felon or prohibited person,Murder/Suicide,29.0
329,Possession of gun by felon or prohibited person,Attempted Murder/Suicide,10.0
330,Possession of gun by felon or prohibited person,Domestic Violence,862.0
331,Possession of gun by felon or prohibited person,Home Invasion,493.0
332,Possession of gun by felon or prohibited person,Home Invasion - Resident killed,70.0
333,Possession of gun by felon or prohibited person,Armed robbery with injury/death and/or evidence of DGU found,539.0
334,Possession of gun by felon or prohibited person,Drive-by,597.0
335,Possession of gun by felon or prohibited person,Officer Involved Shooting - Officer shot,92.0
336,Possession of gun by felon or prohibited person,Officer Involved Shooting - Officer killed,37.0
337,Possession of gun by felon or prohibited person,Officer Involved Shooting - subject/suspect/perpetrator shot,251.0
338,Possession of gun by felon or prohibited person,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,41.0
339,Possession of gun by felon or prohibited person,Spree Shooting,56.0
340,Possession of gun by felon or prohibited person,Institution/Group/Business,726.0
341,Possession of gun by felon or prohibited person,Animal shot/killed,15.0
342,Possession of gun by felon or prohibited person,Home Invasion - Resident injured,113.0
343,Possession of gun by felon or prohibited person,Mass Murder,11.0
344,Possession of gun by felon or prohibited person,Concealed Carry License - Perpetrator,23.0
345,Possession of gun by felon or prohibited person,Stolen/Illegally owned,3660.0
346,Possession of gun by felon or prohibited person,School Incident,283.0
347,Possession of gun by felon or prohibited person,School Shooting - university/college,8.0
348,Possession of gun by felon or prohibited person,Car-jacking,253.0
349,Possession of gun by felon or prohibited person,Hate crime,9.0
350,Possession of gun by felon or prohibited person,House party,47.0
351,Possession of gun by felon or prohibited person,Defensive Use,349.0
352,Possession of gun by felon or prohibited person,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",134.0
353,Possession of gun by felon or prohibited person,Defensive Use - Victim stops crime,153.0
354,Possession of gun by felon or prohibited person,Workplace shooting,8.0
355,Possession of gun by felon or prohibited person,Assault weapon,615.0
356,Possession of gun by felon or prohibited person,Pistol-whipping,193.0
357,Possession of gun by felon or prohibited person,Implied Weapon,14.0
358,Possession of gun by felon or prohibited person,Accidental Shooting,461.0
359,Possession of gun by felon or prohibited person,Accidental Shooting - Injury,294.0
360,Possession of gun by felon or prohibited person,Cleaning gun,12.0
361,Possession of gun by felon or prohibited person,Brandishing/flourishing/open carry/lost/found,1548.0
362,Possession of gun by felon or prohibited person,Non-Shooting Incident,10282.0
363,Possession of gun by felon or prohibited person,ATF/LE Confiscation/Raid/Arrest,7097.0
364,Possession of gun by felon or prohibited person,Unlawful purchase/sale,396.0
365,Possession of gun by felon or prohibited person,Accidental Shooting - Death,121.0
366,Possession of gun by felon or prohibited person,BB/Pellet/Replica gun,68.0
367,Possession of gun by felon or prohibited person,Hunting accident,3.0
368,Possession of gun by felon or prohibited person,Road rage,94.0
369,Possession of gun by felon or prohibited person,Home Invasion - No death or injury,273.0
370,Possession of gun by felon or prohibited person,Accidental/Negligent Discharge,388.0
371,Possession of gun by felon or prohibited person,"Shots fired, no action",13.0
372,Possession of gun by felon or prohibited person,Sex crime involving firearm,62.0
373,Possession of gun by felon or prohibited person,TSA Action,9.0
374,Possession of gun by felon or prohibited person,Thought gun was unloaded,20.0
375,Possession of gun by felon or prohibited person,stolen from owner,497.0
376,Possession of gun by felon or prohibited person,Gun range/gun shop/gun show shooting,8.0
377,Possession of gun by felon or prohibited person,Home Invasion - subject/suspect/perpetrator killed,33.0
378,Possession of gun by felon or prohibited person,Home Invasion - subject/suspect/perpetrator injured,45.0
379,Possession of gun by felon or prohibited person,Child Involved Incident,169.0
380,Possession of gun by felon or prohibited person,Child injured self,13.0
381,Possession of gun by felon or prohibited person,Suicide - Attempt,20.0
382,Possession of gun by felon or prohibited person,Child killed by child,12.0
383,Possession of gun by felon or prohibited person,Self-Inflicted,139.0
384,Possession of gun by felon or prohibited person,School Shooting - elementary/secondary school,18.0
385,Possession of gun by felon or prohibited person,Officer Involved Incident - Weapon involved but no shots fired,871.0
386,Possession of gun by felon or prohibited person,"Defensive Use - Shots fired, no injury/death",43.0
387,Possession of gun by felon or prohibited person,Concealed Carry License - Victim,29.0
388,Possession of gun by felon or prohibited person,"Officer Involved Shooting - Shots fired, no injury",264.0
389,Possession of gun by felon or prohibited person,Accidental Shooting at a Business,26.0
390,Possession of gun by felon or prohibited person,Criminal act with stolen gun,768.0
391,Possession of gun by felon or prohibited person,Child killed self,12.0
392,Possession of gun by felon or prohibited person,Child picked up & fired gun,41.0
393,Possession of gun by felon or prohibited person,"Gun at school, no death/injury - elementary/secondary school",246.0
394,Possession of gun by felon or prohibited person,"Gun at school, no death/injury - university/college",10.0
395,Possession of gun by felon or prohibited person,Non-Aggression Incident,516.0
396,Possession of gun by felon or prohibited person,Defensive Use - WITHOUT a gun,98.0
397,Possession of gun by felon or prohibited person,Police Targeted,87.0
398,Possession of gun by felon or prohibited person,Defensive Use - Stand Your Ground/Castle Doctrine established,73.0
399,Possession of gun by felon or prohibited person,Playing with gun,126.0
400,Possession of gun by felon or prohibited person,Child injured by child,9.0
401,Possession of gun by felon or prohibited person,Officer Involved Shooting - subject/suspect/perpetrator unarmed,7.0
402,Possession of gun by felon or prohibited person,ShotSpotter,29.0
403,Possession of gun by felon or prohibited person,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,260.0
404,Possession of gun by felon or prohibited person,Defensive Use - Good Samaritan/Third Party,35.0
405,Possession of gun by felon or prohibited person,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,128.0
406,Possession of gun by felon or prohibited person,Child killed,51.0
407,Possession of gun by felon or prohibited person,Child with gun - no shots fired,31.0
408,Possession of gun by felon or prohibited person,Gun shop robbery or burglary,56.0
409,Possession of gun by felon or prohibited person,Shootout,267.0
410,Possession of gun by felon or prohibited person,Guns stolen from law enforcement,30.0
411,Possession of gun by felon or prohibited person,Defensive use - No shots fired,22.0
412,Possession of gun by felon or prohibited person,Officer Involved Shooting - Bystander shot,16.0
413,Possession of gun by felon or prohibited person,Officer Involved Shooting - Bystander killed,5.0
414,Possession of gun by felon or prohibited person,Child injured,66.0
415,Possession of gun by felon or prohibited person,Gun buy back action,0.0
416,Possession of gun by felon or prohibited person,Terrorism Involvement,8.0
417,Possession of gun by felon or prohibited person,Officer Involved Shooting - Accidental discharge - no injury required,5.0
418,Possession of gun by felon or prohibited person,Mistaken ID ,7.0
419,Possession of gun by felon or prohibited person,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,10.0
420,Possession of gun by felon or prohibited person,Ghost gun,29.0
421,Possession of gun by felon or prohibited person,Political Violence,3.0
422,Shot - Dead,Gang involvement,1465.0
423,Shot - Dead,Shots Fired - No Injuries,158.0
424,Shot - Dead,Bar/club incident - in or around establishment,1280.0
425,Shot - Dead,Officer Involved Incident,5626.0
426,Shot - Dead,Officer Involved Shooting - subject/suspect/perpetrator killed,4498.0
427,Shot - Dead,Drug involvement,2023.0
428,Shot - Dead,Kidnapping/abductions/hostage,419.0
429,Shot - Dead,Under the influence of alcohol or drugs,637.0
430,Shot - Dead,Suicide,5579.0
431,Shot - Dead,Murder/Suicide,2830.0
432,Shot - Dead,Attempted Murder/Suicide,415.0
433,Shot - Dead,Domestic Violence,4775.0
434,Shot - Dead,Home Invasion,1797.0
435,Shot - Dead,Home Invasion - Resident killed,927.0
436,Shot - Dead,Armed robbery with injury/death and/or evidence of DGU found,2740.0
437,Shot - Dead,Drive-by,2117.0
438,Shot - Dead,Officer Involved Shooting - Officer shot,429.0
439,Shot - Dead,Officer Involved Shooting - Officer killed,244.0
440,Shot - Dead,Officer Involved Shooting - subject/suspect/perpetrator shot,286.0
441,Shot - Dead,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,944.0
442,Shot - Dead,Spree Shooting,184.0
443,Shot - Dead,Institution/Group/Business,1362.0
444,Shot - Dead,Animal shot/killed,89.0
445,Shot - Dead,Home Invasion - Resident injured,326.0
446,Shot - Dead,Mass Murder,97.0
447,Shot - Dead,Concealed Carry License - Perpetrator,82.0
448,Shot - Dead,Stolen/Illegally owned,363.0
449,Shot - Dead,School Incident,103.0
450,Shot - Dead,School Shooting - university/college,44.0
451,Shot - Dead,Car-jacking,334.0
452,Shot - Dead,Hate crime,40.0
453,Shot - Dead,House party,264.0
454,Shot - Dead,Defensive Use,2294.0
455,Shot - Dead,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",1259.0
456,Shot - Dead,Defensive Use - Victim stops crime,613.0
457,Shot - Dead,Workplace shooting,95.0
458,Shot - Dead,Assault weapon,265.0
459,Shot - Dead,Pistol-whipping,196.0
460,Shot - Dead,Implied Weapon,55.0
461,Shot - Dead,Accidental Shooting,1778.0
462,Shot - Dead,Accidental Shooting - Injury,69.0
463,Shot - Dead,Cleaning gun,44.0
464,Shot - Dead,Brandishing/flourishing/open carry/lost/found,1374.0
465,Shot - Dead,Non-Shooting Incident,4.0
466,Shot - Dead,ATF/LE Confiscation/Raid/Arrest,542.0
467,Shot - Dead,Unlawful purchase/sale,21.0
468,Shot - Dead,Accidental Shooting - Death,1666.0
469,Shot - Dead,BB/Pellet/Replica gun,139.0
470,Shot - Dead,Hunting accident,145.0
471,Shot - Dead,Road rage,216.0
472,Shot - Dead,Home Invasion - No death or injury,26.0
473,Shot - Dead,Accidental/Negligent Discharge,1301.0
474,Shot - Dead,"Shots fired, no action",17.0
475,Shot - Dead,Sex crime involving firearm,38.0
476,Shot - Dead,TSA Action,1.0
477,Shot - Dead,Thought gun was unloaded,145.0
478,Shot - Dead,stolen from owner,151.0
479,Shot - Dead,Gun range/gun shop/gun show shooting,125.0
480,Shot - Dead,Home Invasion - subject/suspect/perpetrator killed,830.0
