,Year,State,County,NAME,Total_Pop,Male_Pop,Female_Pop,Age_Median,White_Pop,Black_AA_Pop,AmericanIndian_AlasNative_Pop,Asian_Pop,PacificNative_Pop,OtherRace_Pop,Social_Security,Gini,PerCapita_Income,state,county
21,2014, Virginia,Prince William County,"Prince William County, Virginia",446094,222089,224005,34.2,280387,88772,1231,33797,772,27967,24798,0.3799,35747,51,153
22,2014, Virginia,Roanoke County,"Roanoke County, Virginia",93785,44841,48944,43.4,,,,,,,15334,0.4161,31865,51,161
23,2014, Virginia,Rockingham County,"Rockingham County, Virginia",78171,37822,40349,41.8,74011,1733,65,520,0,806,11190,0.4091,27274,51,165
24,2014, Virginia,Spotsylvania County,"Spotsylvania County, Virginia",129188,64196,64992,37.1,94942,21580,396,3745,35,3348,11337,0.4210,32485,51,177
25,2014, Virginia,Stafford County,"Stafford County, Virginia",139992,71469,68523,34.9,95739,23654,151,4844,42,6705,8839,0.3860,37562,51,179
26,2014, Virginia,York County,"York County, Virginia",66342,31555,34787,40.1,50983,8275,187,3828,103,2713,6968,0.3616,35105,51,199
27,2014, Virginia,Alexandria city,"Alexandria city, Virginia",150575,71921,78654,36.1,96093,31128,61,10573,138,7272,9164,0.4367,54001,51,510
28,2014, Virginia,Chesapeake city,"Chesapeake city, Virginia",233371,113592,119779,36.4,145126,69163,219,8037,859,5817,22670,0.3999,28608,51,550
29,2014, Virginia,Hampton city,"Hampton city, Virginia",136879,65790,71089,35.5,58451,68295,954,3595,0,3301,15873,0.4212,24051,51,650
30,2014, Virginia,Lynchburg city,"Lynchburg city, Virginia",79047,37304,41743,28.5,51500,22915,17,2290,52,1662,9154,0.4788,20144,51,680
31,2014, Virginia,Newport News city,"Newport News city, Virginia",182965,88434,94531,33.0,92495,73305,385,5250,362,7933,17119,0.4216,24397,51,700
32,2014, Virginia,Norfolk city,"Norfolk city, Virginia",245428,127888,117540,30.2,114315,104703,1134,8984,0,9236,20097,0.4766,23694,51,710
33,2014, Virginia,Portsmouth city,"Portsmouth city, Virginia",96004,46106,49898,34.4,39566,49982,681,1214,288,2969,10896,0.4284,22923,51,740
34,2014, Virginia,Richmond city,"Richmond city, Virginia",217853,104055,113798,32.7,97755,105349,812,5125,0,6700,21583,0.5263,28814,51,760
35,2014, Virginia,Roanoke city,"Roanoke city, Virginia",99428,47953,51475,38.1,62351,28553,27,2462,0,2314,13546,0.4587,24218,51,770
36,2014, Virginia,Suffolk city,"Suffolk city, Virginia",86806,41797,45009,39.0,44473,35933,22,1347,0,3995,9832,0.4350,28541,51,800
37,2014, Virginia,Virginia Beach city,"Virginia Beach city, Virginia",450980,221987,228993,35.2,303113,87511,914,29617,123,20951,42543,0.4085,32702,51,810
38,2014, Washington,Benton County,"Benton County, Washington",186486,93521,92965,35.4,149723,3595,1197,4394,150,7325,19416,0.4466,28457,53,005
39,2014, Washington,Chelan County,"Chelan County, Washington",74588,37585,37003,40.3,69933,200,226,687,63,1918,9617,0.4672,25505,53,007
40,2014, Washington,Clallam County,"Clallam County, Washington",72715,35966,36749,49.8,63927,474,3289,873,72,2777,14597,0.4269,26705,53,009
41,2014, Washington,Clark County,"Clark County, Washington",451008,224066,226942,37.5,378548,7480,2552,18152,3591,23476,49415,0.4183,29030,53,011
42,2014, Washington,Cowlitz County,"Cowlitz County, Washington",102133,50908,51225,41.6,92533,633,1317,1419,390,4329,15812,0.4535,23421,53,015
43,2014, Washington,Franklin County,"Franklin County, Washington",87809,46312,41497,29.7,65503,1633,663,2260,87,1896,5317,0.4203,21283,53,021
44,2014, Washington,Grant County,"Grant County, Washington",93147,46928,46219,32.6,70502,514,1125,1055,108,3014,8114,0.4192,21230,53,025
45,2014, Washington,Grays Harbor County,"Grays Harbor County, Washington",70818,36134,34684,44.1,62814,838,3189,1293,48,2512,12302,0.4397,22138,53,027
46,2014, Washington,Island County,"Island County, Washington",79275,39759,39516,44.5,66831,2541,977,3337,64,4475,13747,0.4191,32209,53,029
47,2014, Washington,King County,"King County, Washington",2079967,1039852,1040115,37.2,1408023,125664,15319,334620,16358,127675,183880,0.4660,41767,53,033
48,2014, Washington,Kitsap County,"Kitsap County, Washington",254183,130101,124082,39.7,208830,5786,3209,12789,2084,17313,31651,0.4488,32340,53,035
49,2014, Washington,Lewis County,"Lewis County, Washington",75128,37462,37666,43.2,69615,728,477,594,0,3713,11987,0.4106,22643,53,041
50,2014, Washington,Pierce County,"Pierce County, Washington",831928,413067,418861,35.7,618607,55712,9735,49479,10849,65098,82163,0.4255,28771,53,053
51,2014, Washington,Skagit County,"Skagit County, Washington",120365,59984,60381,40.8,99746,689,1685,2800,1031,3559,17123,0.4751,27752,53,057
52,2014, Washington,Snohomish County,"Snohomish County, Washington",759583,381576,378007,37.5,597552,20102,7672,73693,3908,40938,70681,0.4022,32255,53,061
53,2014, Washington,Spokane County,"Spokane County, Washington",484318,239807,244511,37.2,431417,8262,7318,10462,1995,21399,59097,0.4518,26235,53,063
54,2014, Washington,Thurston County,"Thurston County, Washington",265851,130128,135723,39.0,217392,7761,4653,16235,2849,14103,30758,0.4081,30441,53,067
55,2014, Washington,Whatcom County,"Whatcom County, Washington",208351,102098,106253,36.7,177416,1861,5820,8150,611,9485,25865,0.4333,26616,53,073
56,2014, Washington,Yakima County,"Yakima County, Washington",247687,123583,124104,32.6,197186,1695,11684,2118,379,8104,23723,0.4388,20000,53,077
57,2014, West Virginia,Berkeley County,"Berkeley County, West Virginia",110497,55132,55365,38.2,,,,,,,11834,0.3703,26041,54,003
58,2014, West Virginia,Cabell County,"Cabell County, West Virginia",97109,47682,49427,37.8,88575,4863,183,1323,90,1879,16471,0.4942,21570,54,011
59,2014, West Virginia,Harrison County,"Harrison County, West Virginia",68761,33699,35062,42.7,,,,,,,10282,0.4661,24831,54,033
60,2014, West Virginia,Kanawha County,"Kanawha County, West Virginia",190223,91601,98622,43.0,167846,14534,446,1906,0,4995,34012,0.4647,26040,54,039
61,2014, West Virginia,Monongalia County,"Monongalia County, West Virginia",103463,53030,50433,30.1,93143,3842,88,3152,0,2371,9334,0.5168,25458,54,061
62,2014, West Virginia,Raleigh County,"Raleigh County, West Virginia",78241,39687,38554,41.5,,,,,,,12969,0.4734,23423,54,081
63,2014, West Virginia,Wood County,"Wood County, West Virginia",86237,41387,44850,43.0,82382,1746,31,437,31,1448,14805,0.4352,24073,54,107
64,2014, Wisconsin,Brown County,"Brown County, Wisconsin",256670,127056,129614,36.9,218959,5610,6244,8458,0,6211,29315,0.4066,26855,55,009
65,2014, Wisconsin,Dane County,"Dane County, Wisconsin",516284,255610,260674,34.8,431044,25597,1016,28918,16,16148,48115,0.4552,33912,55,025
66,2014, Wisconsin,Dodge County,"Dodge County, Wisconsin",88574,45957,42617,42.7,83066,1610,340,419,0,2105,10747,0.3899,25566,55,027
67,2014, Wisconsin,Eau Claire County,"Eau Claire County, Wisconsin",101564,49755,51809,33.9,94407,1084,556,3244,257,2004,12485,0.4564,25939,55,035
68,2014, Wisconsin,Fond du Lac County,"Fond du Lac County, Wisconsin",101759,49826,51933,41.8,95368,1428,479,1301,4,1169,13694,0.4136,27655,55,039
69,2014, Wisconsin,Jefferson County,"Jefferson County, Wisconsin",84395,42125,42270,40.1,78577,853,259,554,0,1786,9889,0.3760,26026,55,055
70,2014, Wisconsin,Kenosha County,"Kenosha County, Wisconsin",168068,82212,85856,37.5,146880,13273,527,2261,0,4087,20101,0.4275,25687,55,059
71,2014, Wisconsin,La Crosse County,"La Crosse County, Wisconsin",118011,58236,59775,35.1,108008,1118,337,5158,164,2649,12980,0.4290,26984,55,063
72,2014, Wisconsin,Manitowoc County,"Manitowoc County, Wisconsin",80160,40052,40108,44.1,,,,,,,11656,0.4194,25818,55,071
73,2014, Wisconsin,Marathon County,"Marathon County, Wisconsin",135780,67944,67836,41.0,124136,1103,191,7736,25,2215,16290,0.4152,27568,55,073
74,2014, Wisconsin,Milwaukee County,"Milwaukee County, Wisconsin",956406,461824,494582,34.5,590393,253812,6687,37010,203,26387,108868,0.4785,24806,55,079
75,2014, Wisconsin,Outagamie County,"Outagamie County, Wisconsin",182006,91259,90747,37.5,164020,1708,2843,5874,0,3670,18806,0.4082,28680,55,087
76,2014, Wisconsin,Ozaukee County,"Ozaukee County, Wisconsin",87470,42853,44617,44.3,82725,1213,353,2108,0,724,11630,0.4726,42357,55,089
77,2014, Wisconsin,Portage County,"Portage County, Wisconsin",70482,35647,34835,36.5,66195,732,358,2255,28,333,8336,0.4181,25989,55,097
78,2014, Wisconsin,Racine County,"Racine County, Wisconsin",195163,96001,99162,39.7,157023,21646,1028,1926,0,5706,24429,0.4221,26930,55,101
79,2014, Wisconsin,Rock County,"Rock County, Wisconsin",161188,79034,82154,39.6,145534,7157,134,1650,0,5778,20250,0.4194,26250,55,105
80,2014, Wisconsin,St. Croix County,"St. Croix County, Wisconsin",86759,43182,43577,38.1,83419,581,128,1072,0,1472,7893,0.3675,33578,55,109
81,2014, Wisconsin,Sheboygan County,"Sheboygan County, Wisconsin",115290,58186,57104,41.0,103372,1459,203,6168,92,2837,14758,0.4085,27353,55,117
82,2014, Wisconsin,Walworth County,"Walworth County, Wisconsin",103527,51736,51791,39.7,97291,1135,195,1055,10,2152,13059,0.4477,27405,55,127
83,2014, Wisconsin,Washington County,"Washington County, Wisconsin",133251,66219,67032,42.8,127341,1714,241,1765,0,1681,16042,0.4042,33913,55,131
84,2014, Wisconsin,Waukesha County,"Waukesha County, Wisconsin",395118,195124,199994,43.2,367027,5958,774,12605,79,5423,47882,0.4390,39337,55,133
85,2014, Wisconsin,Winnebago County,"Winnebago County, Wisconsin",169511,86086,83425,38.0,156392,4017,821,3626,98,2766,21067,0.4323,27557,55,139
86,2014, Wisconsin,Wood County,"Wood County, Wisconsin",73608,36322,37286,43.5,69909,301,490,1514,0,843,11309,0.3968,27246,55,141
87,2014, Wyoming,Laramie County,"Laramie County, Wyoming",96389,47870,48519,36.8,81825,3174,641,976,24,3309,10522,0.4062,28934,56,021
88,2014, Wyoming,Natrona County,"Natrona County, Wyoming",81624,41811,39813,35.8,75488,1563,710,820,16,1842,8584,0.4287,30967,56,025
89,2014, Puerto Rico,Arecibo Municipio,"Arecibo Municipio, Puerto Rico",91540,44084,47456,40.6,80014,2229,99,973,0,908,14476,0.5353,9367,72,013
90,2014, Puerto Rico,Bayamón Municipio,"Bayamón Municipio, Puerto Rico",194210,92445,101765,39.5,114922,9920,614,122,49,54245,27353,0.4924,13298,72,021
91,2014, Puerto Rico,Caguas Municipio,"Caguas Municipio, Puerto Rico",137032,64180,72852,38.5,102944,12168,0,436,0,2973,20129,0.4937,12964,72,025
92,2014, Puerto Rico,Carolina Municipio,"Carolina Municipio, Puerto Rico",165820,76499,89321,40.2,91525,41827,4243,406,79,15820,25426,0.4709,15713,72,031
93,2014, Puerto Rico,Guaynabo Municipio,"Guaynabo Municipio, Puerto Rico",92799,44033,48766,42.3,71555,6659,405,200,0,12341,13434,0.5528,21966,72,061
94,2014, Puerto Rico,Mayagüez Municipio,"Mayagüez Municipio, Puerto Rico",81915,39259,42656,39.2,30614,3294,273,0,0,2146,12135,0.6429,10931,72,097
95,2014, Puerto Rico,Ponce Municipio,"Ponce Municipio, Puerto Rico",153540,74228,79312,38.8,122995,7609,467,120,0,11102,22369,0.6160,11423,72,113
96,2014, Puerto Rico,San Juan Municipio,"San Juan Municipio, Puerto Rico",365575,168109,197466,41.0,276521,39796,960,1896,69,18902,51779,0.6075,16464,72,127
97,2014, Puerto Rico,Toa Alta Municipio,"Toa Alta Municipio, Puerto Rico",74837,36155,38682,37.2,59122,7622,554,157,0,3580,8222,0.4854,13325,72,135
98,2014, Puerto Rico,Toa Baja Municipio,"Toa Baja Municipio, Puerto Rico",84165,39731,44434,38.2,44687,8902,0,0,0,21137,10272,0.4938,11721,72,137
99,2014, Puerto Rico,Trujillo Alto Municipio,"Trujillo Alto Municipio, Puerto Rico",71019,33618,37401,38.3,52801,8672,119,0,55,1775,8241,0.5432,15139,72,139
100,2014, Alabama,Baldwin County,"Baldwin County, Alabama",200111,98284,101827,42.7,173137,19588,1621,639,0,3821,27424,0.4648,26721,01,003
101,2014, Alabama,Calhoun County,"Calhoun County, Alabama",115916,55449,60467,38.8,,,,,,,17138,0.4561,21750,01,015
102,2014, Alabama,Cullman County,"Cullman County, Alabama",81289,40112,41177,40.6,,,,,,,11341,0.4533,20304,01,043
103,2014, Alabama,DeKalb County,"DeKalb County, Alabama",71065,36028,35037,39.2,59354,896,1126,416,0,1381,9720,0.4754,18216,01,049
104,2014, Alabama,Elmore County,"Elmore County, Alabama",80977,39865,41112,37.9,60220,18242,219,64,0,1110,9011,0.4160,23697,01,051
105,2014, Alabama,Etowah County,"Etowah County, Alabama",103531,50191,53340,40.4,83905,16122,338,686,55,1668,17453,0.4374,20810,01,055
106,2014, Alabama,Houston County,"Houston County, Alabama",104193,49815,54378,39.1,72551,28680,221,573,0,1570,14035,0.4812,22233,01,069
107,2014, Alabama,Jefferson County,"Jefferson County, Alabama",660793,312139,348654,37.5,346240,277340,2147,10715,284,9647,85306,0.4893,26035,01,073
108,2014, Alabama,Lauderdale County,"Lauderdale County, Alabama",93096,44124,48972,40.4,80893,8534,188,635,0,2810,13656,0.4888,23811,01,077
109,2014, Alabama,Lee County,"Lee County, Alabama",154255,75977,78278,30.5,109240,35876,134,5159,0,2719,14702,0.5434,25204,01,081
110,2014, Alabama,Limestone County,"Limestone County, Alabama",90787,45616,45171,39.4,74349,12992,416,294,0,1921,10504,0.4776,25750,01,083
111,2014, Alabama,Madison County,"Madison County, Alabama",350299,170383,179916,37.9,240157,82298,1526,8709,341,13108,39030,0.4736,32458,01,089
112,2014, Alabama,Marshall County,"Marshall County, Alabama",94636,46429,48207,38.7,85782,2294,275,449,0,1567,13354,0.4824,19923,01,095
113,2014, Alabama,Mobile County,"Mobile County, Alabama",415123,198456,216667,37.5,245445,146554,2343,8596,47,6572,51511,0.4631,22854,01,097
114,2014, Alabama,Montgomery County,"Montgomery County, Alabama",226189,107696,118493,35.7,86949,128175,359,5887,58,3097,27945,0.4660,24390,01,101
115,2014, Alabama,Morgan County,"Morgan County, Alabama",119607,57491,62116,40.0,99508,15715,1700,415,0,1167,15452,0.4291,23168,01,103
116,2014, Alabama,St. Clair County,"St. Clair County, Alabama",86697,43430,43267,40.0,75006,8616,92,527,0,1049,10065,0.4151,22200,01,115
117,2014, Alabama,Shelby County,"Shelby County, Alabama",206655,101079,105576,38.2,165564,24599,48,4162,0,3901,21343,0.4405,32038,01,117
118,2014, Alabama,Talladega County,"Talladega County, Alabama",81322,40127,41195,40.9,52540,26504,338,110,0,1189,11015,0.4257,19029,01,121
119,2014, Alabama,Tuscaloosa County,"Tuscaloosa County, Alabama",202212,97483,104729,32.1,132385,62601,325,3055,0,2142,20809,0.4674,22995,01,125
120,2014, Alabama,Walker County,"Walker County, Alabama",65471,31573,33898,43.5,,,,,,,11373,0.4616,19335,01,127
121,2014, Alaska,Anchorage Municipality,"Anchorage Municipality, Alaska",301010,153176,147834,32.1,194958,17041,21093,27805,6629,28362,16842,0.4174,35442,02,020
122,2014, Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",99357,54819,44538,30.1,75321,4564,5386,2497,588,9663,5678,0.4183,33599,02,090
123,2014, Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",97882,51396,46486,34.4,81634,714,4883,1774,181,8120,7420,0.3956,30729,02,170
124,2014, Arizona,Apache County,"Apache County, Arizona",71828,35228,36600,34.3,16135,839,51844,350,0,1799,6825,0.4930,13466,04,001
125,2014, Arizona,Cochise County,"Cochise County, Arizona",127448,64493,62955,40.1,106504,4774,1562,2552,61,7070,18509,0.4514,23507,04,003
126,2014, Arizona,Coconino County,"Coconino County, Arizona",137682,67191,70491,30.9,88024,2159,36043,3038,106,3913,11895,0.4619,23867,04,005
127,2014, Arizona,Maricopa County,"Maricopa County, Arizona",4087191,2019956,2067235,35.7,3228764,209043,76490,162396,9032,133317,419880,0.4663,27645,04,013
128,2014, Arizona,Mohave County,"Mohave County, Arizona",203361,101328,102033,49.7,183875,2462,5709,2462,8,3530,42592,0.4257,20450,04,015
129,2014, Arizona,Navajo County,"Navajo County, Arizona",108101,53961,54140,35.2,52249,895,48675,706,62,2856,13145,0.4650,15074,04,017
130,2014, Arizona,Pima County,"Pima County, Arizona",1004516,494124,510392,38.0,777131,34178,32490,26807,1901,43573,136907,0.4745,25738,04,019
131,2014, Arizona,Pinal County,"Pinal County, Arizona",401918,211515,190403,38.4,325699,18514,20752,7979,1448,14149,52981,0.4275,21210,04,021
132,2014, Arizona,Yavapai County,"Yavapai County, Arizona",218844,106764,112080,52.0,199264,1241,3310,2265,6,5018,46382,0.4538,26018,04,025
133,2014, Arizona,Yuma County,"Yuma County, Arizona",203247,104020,99227,34.0,159621,4723,1765,2407,13,5668,24582,0.4592,19235,04,027
134,2014, Arkansas,Benton County,"Benton County, Arkansas",242321,120768,121553,35.4,214453,4058,3780,8304,961,6273,23742,0.4447,27846,05,007
135,2014, Arkansas,Craighead County,"Craighead County, Arkansas",102518,48882,53636,34.1,83798,13400,600,1120,668,2511,10622,0.4980,23611,05,031
136,2014, Arkansas,Faulkner County,"Faulkner County, Arkansas",120768,58642,62126,32.0,100899,14111,604,1334,0,2464,11638,0.4454,24324,05,045
137,2014, Arkansas,Garland County,"Garland County, Arkansas",97322,47725,49597,43.2,83623,8226,269,788,45,2189,16831,0.4894,24118,05,051
138,2014, Arkansas,Jefferson County,"Jefferson County, Arkansas",72297,36188,36109,39.1,30360,40731,30,710,0,340,10966,0.4907,20470,05,069
139,2014, Arkansas,Lonoke County,"Lonoke County, Arkansas",71557,35270,36287,36.1,64581,4407,206,224,0,1884,9032,0.3730,23454,05,085
140,2014, Arkansas,Pulaski County,"Pulaski County, Arkansas",392702,188389,204313,36.6,231534,140048,627,7911,57,9844,47191,0.4764,27122,05,119
141,2014, Arkansas,Saline County,"Saline County, Arkansas",115719,56547,59172,38.1,,,,,,,14165,0.3872,25219,05,125
142,2014, Arkansas,Sebastian County,"Sebastian County, Arkansas",126776,62793,63983,37.5,103046,9238,1569,5437,0,5016,16233,0.5137,24434,05,131
143,2014, Arkansas,Washington County,"Washington County, Arkansas",220792,109681,111111,31.6,177302,6388,2384,5473,4593,7918,19950,0.5200,26307,05,143
144,2014, Arkansas,White County,"White County, Arkansas",78592,38637,39955,35.5,71044,3463,0,490,152,1810,10745,0.5382,23811,05,145
145,2014, California,Alameda County,"Alameda County, California",1610921,789220,821701,37.1,713395,184981,10794,451957,13287,96888,135293,0.4642,36977,06,001
146,2014, California,Butte County,"Butte County, California",224241,111819,112422,36.4,183737,3568,4523,9265,305,14134,29062,0.5128,25842,06,007
147,2014, California,Contra Costa County,"Contra Costa County, California",1111339,541302,570037,38.8,659797,94162,5167,172954,5901,73859,107912,0.4812,40141,06,013
148,2014, California,El Dorado County,"El Dorado County, California",183087,91527,91560,44.9,160533,1466,1542,7846,283,6498,23312,0.4673,35680,06,017
149,2014, California,Fresno County,"Fresno County, California",965974,482110,483864,31.7,584595,49881,8453,96158,2461,36295,77222,0.4810,20170,06,019
150,2014, California,Humboldt County,"Humboldt County, California",134809,66780,68029,37.3,107854,2150,7376,3351,67,8446,16989,0.4603,22637,06,023
151,2014, California,Imperial County,"Imperial County, California",179091,90172,88919,32.3,120726,3993,3238,2744,244,8882,14431,0.4840,16226,06,025
152,2014, California,Kern County,"Kern County, California",874589,448318,426271,31.2,664002,46940,10342,40765,925,34298,68090,0.4608,20488,06,029
153,2014, California,Kings County,"Kings County, California",150269,82133,68136,30.9,93965,9578,2676,5293,382,7174,10633,0.4596,17378,06,031
154,2014, California,Lake County,"Lake County, California",64184,31308,32876,45.1,50076,1483,2774,590,0,1689,13348,0.4705,20798,06,033
155,2014, California,Los Angeles County,"Los Angeles County, California",10116705,4982772,5133933,35.8,5313124,830371,63594,1449469,28601,400161,788624,0.5045,28373,06,037
156,2014, California,Madera County,"Madera County, California",154548,73371,81177,33.8,123679,5401,1384,3908,202,6616,14520,0.4496,17601,06,039
157,2014, California,Marin County,"Marin County, California",260750,127673,133077,45.4,207308,5536,434,15868,292,11123,33355,0.5180,59824,06,041
158,2014, California,Mendocino County,"Mendocino County, California",87869,43596,44273,42.2,73918,623,4098,1666,137,3006,13008,0.5021,24938,06,045
159,2014, California,Merced County,"Merced County, California",266353,134395,131958,31.0,161624,9044,914,19573,310,10764,21632,0.4423,18585,06,047
160,2014, California,Monterey County,"Monterey County, California",431344,220023,211321,33.7,333058,11311,3950,25836,1886,16465,36836,0.4805,25712,06,053
161,2014, California,Napa County,"Napa County, California",141667,69938,71729,40.9,102370,3310,681,11739,47,5339,16781,0.4689,37731,06,055
162,2014, California,Nevada County,"Nevada County, California",98893,49526,49367,49.9,91442,191,802,1380,240,3491,16859,0.4454,32374,06,057
163,2014, California,Orange County,"Orange County, California",3145515,1553937,1591578,37.2,1982736,51390,14080,599768,8933,126153,265988,0.4693,34886,06,059
164,2014, California,Placer County,"Placer County, California",371694,181711,189983,41.9,312926,5902,2342,26796,1455,13032,46610,0.4451,37200,06,061
165,2014, California,Riverside County,"Riverside County, California",2329271,1157875,1171396,34.8,1475692,145374,21276,147907,5570,99039,215804,0.4442,23460,06,065
166,2014, California,Sacramento County,"Sacramento County, California",1482026,725000,757026,35.7,871895,150307,10329,228084,16250,93043,138398,0.4680,27655,06,067
167,2014, California,San Bernardino County,"San Bernardino County, California",2112619,1051007,1061612,32.7,1284478,175566,19770,143777,6956,85396,155676,0.4510,21042,06,071
168,2014, California,San Diego County,"San Diego County, California",3263431,1639959,1623472,35.3,2314039,161603,15950,378006,14253,167533,279310,0.4669,31770,06,073
169,2014, California,San Francisco County,"San Francisco County, California",852469,433882,418587,38.6,403610,45986,2382,289650,3665,42109,82769,0.5063,51727,06,075
170,2014, California,San Joaquin County,"San Joaquin County, California",715597,356199,359398,33.7,394950,52150,4827,109924,4233,58784,62057,0.4703,23028,06,077
171,2014, California,San Luis Obispo County,"San Luis Obispo County, California",279083,141338,137745,38.8,243548,5578,1188,11385,0,8338,34925,0.4650,31746,06,079
172,2014, California,San Mateo County,"San Mateo County, California",758581,372768,385813,39.4,399957,19872,2463,206532,9814,36835,72294,0.4881,49987,06,081
173,2014, California,Santa Barbara County,"Santa Barbara County, California",440668,219796,220872,33.7,339492,8498,3018,21108,1125,23040,42134,0.4808,29833,06,083
174,2014, California,Santa Clara County,"Santa Clara County, California",1894605,952685,941920,37.0,907866,48169,7894,651614,7155,86593,140744,0.4637,44112,06,085
175,2014, California,Santa Cruz County,"Santa Cruz County, California",271804,135280,136524,37.0,218568,2398,724,12339,194,11610,25725,0.4828,33911,06,087
176,2014, California,Shasta County,"Shasta County, California",179804,87713,92091,42.4,156618,2167,3047,3983,147,10561,27170,0.4558,24373,06,089
177,2014, California,Solano County,"Solano County, California",431131,213673,217458,37.3,234128,60256,2283,67746,3265,27224,44968,0.4184,28948,06,095
178,2014, California,Sonoma County,"Sonoma County, California",500292,245269,255023,41.1,376299,7339,6750,19734,2210,26932,63636,0.4644,35771,06,097
179,2014, California,Stanislaus County,"Stanislaus County, California",531997,263516,268481,33.8,405964,12774,4114,29521,3588,22613,49056,0.4404,21609,06,099
180,2014, California,Sutter County,"Sutter County, California",95847,47232,48615,35.8,68279,2585,837,13805,635,5511,9730,0.4297,24233,06,101
181,2014, California,Tulare County,"Tulare County, California",458198,229545,228653,30.4,377865,7757,5512,15247,131,15111,35365,0.4599,17760,06,107
182,2014, California,Ventura County,"Ventura County, California",846178,418091,428087,37.3,681601,13518,7959,60326,1684,36875,79998,0.4489,32686,06,111
183,2014, California,Yolo County,"Yolo County, California",207590,100803,106787,31.8,131402,6678,1654,28058,1001,11321,17034,0.5052,28356,06,113
184,2014, California,Yuba County,"Yuba County, California",73966,36834,37132,31.9,52989,1794,1568,4285,273,7730,7620,0.4506,19178,06,115
185,2014, Colorado,Adams County,"Adams County, Colorado",480718,241805,238913,33.5,403077,15119,7788,19265,181,14090,36496,0.4130,25409,08,001
186,2014, Colorado,Arapahoe County,"Arapahoe County, Colorado",618821,305407,313414,36.1,445668,64678,4354,32850,1240,28142,50290,0.4668,34805,08,005
187,2014, Colorado,Boulder County,"Boulder County, Colorado",313333,157429,155904,36.4,276324,3253,2480,14136,236,8874,26962,0.4678,38765,08,013
188,2014, Colorado,Denver County,"Denver County, Colorado",663862,332182,331680,34.2,520398,62757,7326,24784,174,22701,56820,0.5063,35967,08,031
